Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class IoU
sky,16,0.9147527885834916,0.5572885,0.9128769,0.2017002
sky,32,0.9294816098837116,0.58793503,0.9278028,0.24806723
sky,64,0.9318470176158355,0.6267542,0.9295471,0.32396138
sky,128,0.9335547264691986,0.6482198,0.9309105,0.36552918
sky,256,0.938710818759224,0.65134084,0.93646026,0.3662215
sky,512,0.9367062565543288,0.66087914,0.93406314,0.38769507
vehicle,16,0.8531831891957987,0.574123,0.8430643,0.3051817
vehicle,32,0.871434933686691,0.6172079,0.86075586,0.37365994
vehicle,64,0.8835598125910173,0.6584472,0.8715509,0.44534346
vehicle,128,0.894022733016741,0.6769794,0.8829832,0.47097564
vehicle,256,0.8925688690131566,0.6652154,0.8823023,0.4481285
vehicle,512,0.8737927749301584,0.6375227,0.86146146,0.4135839
street,16,0.9548143010617545,0.6269091,0.95392305,0.29989514
street,32,0.9615648424018897,0.6770513,0.9605824,0.39352018
street,64,0.964694587100564,0.6983185,0.9637173,0.4329197
street,128,0.9669369441049682,0.71743655,0.9659433,0.46892983
street,256,0.9656537526204539,0.6991937,0.9647256,0.4336618
street,512,0.9638189074791363,0.6741711,0.9629785,0.38536376
food,16,0.8238859403645752,0.5898004,0.80290914,0.37669167
food,32,0.8562155744737169,0.6570797,0.83421713,0.47994232
food,64,0.880678683814759,0.6956636,0.8622033,0.5291239
food,128,0.883970532891439,0.71421945,0.8633741,0.5650647
food,256,0.8922685740168961,0.7205928,0.87461066,0.56657493
food,512,0.8881659771866152,0.7215166,0.86824834,0.5747848
wildlife,16,0.8255053382377564,0.5899626,0.80511874,0.37480652
wildlife,32,0.8613231909496757,0.65409046,0.84223545,0.4659455
wildlife,64,0.8848008672416307,0.7165709,0.8641379,0.56900394
wildlife,128,0.9162582498223371,0.77792037,0.90038973,0.65545094
wildlife,256,0.9307447253543246,0.8090097,0.9173445,0.7006748
wildlife,512,0.9240185087472246,0.7956153,0.9092259,0.68200475
food,16,0.8204817715993756,0.592458,0.79748875,0.38742727
food,16,0.8242072598269844,0.5968392,0.80174303,0.3919353
food,16,0.827920595725525,0.5976118,0.8068081,0.38841546
food,16,0.8255794538775678,0.589844,0.8052479,0.37444
food,32,0.8545439095539435,0.65540236,0.8321225,0.47868225
food,32,0.8567054422966831,0.65519756,0.83535635,0.47503874
food,32,0.8558283035100116,0.6536414,0.8344127,0.47287008
food,32,0.8550007255534546,0.6496901,0.83406174,0.4653184
food,64,0.8758179502183076,0.6979418,0.85448456,0.54139894
food,64,0.8698770020802146,0.68967223,0.8472812,0.53206325
food,64,0.8735264851209329,0.68781006,0.8532234,0.52239674
food,64,0.879098748210366,0.70136636,0.85871994,0.5440128
food,128,0.8917134936856177,0.7228867,0.8733534,0.57242
food,128,0.8889381524044696,0.71626925,0.87047476,0.56206375
food,128,0.889626164532494,0.72026694,0.87072873,0.5698051
food,128,0.8832899589934484,0.71265805,0.86267227,0.5626438
food,256,0.8911272476534998,0.7117857,0.8744885,0.5490828
food,256,0.8863645054927138,0.7245199,0.8647659,0.58427393
food,256,0.8845018012265704,0.7161509,0.8637683,0.5685335
food,256,0.8864443795252257,0.7096696,0.86803204,0.55130714
food,512,0.8890193426172958,0.7185352,0.87015605,0.5669144
food,512,0.8899492952522167,0.7172425,0.87179667,0.56268835
food,512,0.8916520654975857,0.7184993,0.87407994,0.5629187
food,512,0.8908199352476477,0.7158449,0.8733375,0.55835235
sky,16,0.9126460935467152,0.55508035,0.9107043,0.19945644
sky,16,0.9217186091011821,0.5484271,0.92038435,0.17646992
sky,16,0.920701590069312,0.5467017,0.91935605,0.17404743
sky,16,0.9132108874766978,0.5555112,0.91129035,0.19973205
sky,32,0.923925506089928,0.59239095,0.92180204,0.2629799
sky,32,0.9251993111393668,0.59214294,0.92316896,0.26111698
sky,32,0.9261821101047312,0.587103,0.92432296,0.24988303
sky,32,0.9239010874976193,0.5849693,0.9219436,0.24799494
sky,64,0.9286292787300833,0.61934686,0.9262383,0.31245536
sky,64,0.9336785402040252,0.6189868,0.9316778,0.30629575
sky,64,0.9310574411098645,0.6228402,0.92878056,0.31689987
sky,64,0.9356765554863913,0.6178529,0.93383694,0.30186898
sky,128,0.9356787574038529,0.64614576,0.93327606,0.35901543
sky,128,0.938983360672828,0.6468622,0.936844,0.35688046
sky,128,0.9395401999658737,0.64779556,0.9374297,0.35816133
sky,128,0.9356769609921833,0.6466296,0.9332624,0.3599967
sky,256,0.9399255481280622,0.6472598,0.93785757,0.35666195
sky,256,0.9369501630355997,0.6543241,0.93447936,0.37416884
sky,256,0.9367545054403875,0.65860766,0.93416893,0.38304642
sky,256,0.9359454415446676,0.6610204,0.93322414,0.38881662
sky,512,0.9346341387653259,0.6574315,0.9318708,0.3829922
sky,512,0.9295062406837146,0.6547084,0.9262784,0.3831383
sky,512,0.9293720266708009,0.65353763,0.92616457,0.38091063
sky,512,0.9341830083189703,0.6604858,0.9312967,0.3896749
street,16,0.9526405227271808,0.6266993,0.95165116,0.30174747
street,16,0.9535829191540995,0.6283693,0.95262176,0.30411682
street,16,0.9550079743575768,0.6292297,0.95410544,0.30435398
street,16,0.9497363468336648,0.61295503,0.94874865,0.27716142
street,32,0.9588554652962635,0.66994727,0.95778143,0.38211307
street,32,0.961315500347436,0.68140244,0.96027964,0.4025252
street,32,0.9595047904845906,0.6749948,0.95842123,0.39156836
street,32,0.9600758779661313,0.67022234,0.9590684,0.3813763
street,64,0.9650829926891212,0.69062716,0.96418923,0.41706508
street,64,0.9680796288642376,0.7163842,0.9671672,0.4656012
street,64,0.9640124576357828,0.7066701,0.96291894,0.45042127
street,64,0.964858867075104,0.6936405,0.96392965,0.42335132
street,128,0.9658781269756065,0.7066343,0.9649041,0.44836447
street,128,0.9661239644891146,0.7171075,0.96507937,0.46913558
street,128,0.9673547454775913,0.7145238,0.96641064,0.462637
street,128,0.9677368561914775,0.72090113,0.96676844,0.47503385
street,256,0.964367645200255,0.7081579,0.9632835,0.4530323
street,256,0.9657999951685113,0.7008309,0.9648687,0.43679303
street,256,0.9669178452187894,0.70130885,0.9660479,0.43656987
street,256,0.9664829422774203,0.6974914,0.9656136,0.42936915
street,512,0.9646829258206083,0.68051547,0.9638418,0.39718917
street,512,0.9639221793803789,0.6843539,0.96301144,0.4056963
street,512,0.9642214075777648,0.68338996,0.9633342,0.40344575
street,512,0.9638729828168319,0.6823673,0.96297294,0.40176165
vehicle,16,0.8460489192023253,0.56929034,0.8349734,0.30360726
vehicle,16,0.8410094021398207,0.5633889,0.8295488,0.297229
vehicle,16,0.8597319239024551,0.5788514,0.8504267,0.30727616
vehicle,16,0.8513378491107978,0.5650584,0.84181297,0.28830385
vehicle,32,0.8732018263763979,0.61870474,0.862778,0.37463146
vehicle,32,0.8725339994047412,0.6180967,0.86201966,0.3741737
vehicle,32,0.8782945883974408,0.61941695,0.868931,0.36990285
vehicle,32,0.8696187612454225,0.616334,0.85860115,0.37406686
vehicle,64,0.8886788048469799,0.65976113,0.8779332,0.4415891
vehicle,64,0.8932013305854385,0.6600547,0.88356763,0.43654174
vehicle,64,0.88885588105173,0.6545565,0.878665,0.4304481
vehicle,64,0.8891497428504291,0.65463406,0.8790249,0.43024322
vehicle,128,0.8980884872610191,0.66907185,0.8888466,0.4492971
vehicle,128,0.9005822750874476,0.6773373,0.89124405,0.46343046
vehicle,128,0.8988445869065436,0.68238765,0.8886004,0.4761749
vehicle,128,0.8890551750971329,0.66765445,0.8775915,0.45771745
vehicle,256,0.8874023193417233,0.6607209,0.87621605,0.4452257
vehicle,256,0.894050462922726,0.6678679,0.88391376,0.45182198
vehicle,256,0.8951042907755375,0.6700172,0.885036,0.45499834
vehicle,256,0.8927382758086523,0.6696858,0.8820804,0.45729116
vehicle,512,0.8878402999721988,0.6281391,0.87968916,0.37658903
vehicle,512,0.878116830926189,0.63021827,0.8676869,0.39274967
vehicle,512,0.8816097786551716,0.62746084,0.87223256,0.38268906
vehicle,512,0.8841028704690703,0.6347084,0.8746244,0.39479247
wildlife,16,0.8259027884001506,0.5812067,0.8074556,0.35495773
wildlife,16,0.8205111319200022,0.5908209,0.79792863,0.38371313
wildlife,16,0.8170258869253917,0.58495116,0.79440784,0.3754945
wildlife,16,0.8233474639224962,0.58786833,0.802588,0.3731487
wildlife,32,0.8581923282172292,0.6538243,0.83780855,0.46984005
wildlife,32,0.8631854092062161,0.65777844,0.84417444,0.47138247
wildlife,32,0.8583197352438734,0.6542504,0.8379058,0.47059497
wildlife,32,0.8609931036826585,0.6526151,0.84204936,0.46318078
wildlife,64,0.8873761532356825,0.71988857,0.8673833,0.5723938
wildlife,64,0.8878236268756265,0.7154719,0.8689651,0.56197876
wildlife,64,0.8902227617734964,0.71989036,0.8716976,0.56808305
wildlife,64,0.8927137031383042,0.7207722,0.8752343,0.5663101
wildlife,128,0.9192448366022905,0.78271717,0.9041275,0.66130686
wildlife,128,0.9151007515099587,0.774158,0.8992888,0.64902717
wildlife,128,0.9153160139714877,0.7760221,0.8992823,0.6527618
wildlife,128,0.9129425497763042,0.7726382,0.8962386,0.6490377
wildlife,256,0.9289445129880026,0.80747986,0.91480994,0.7001498
wildlife,256,0.926179395861996,0.80175686,0.91150004,0.6920136
wildlife,256,0.9317489065642606,0.81189394,0.9184182,0.70536965
wildlife,256,0.9300403630941227,0.8093846,0.91618776,0.70258147
wildlife,512,0.9294733294633396,0.79812515,0.9170976,0.6791526
wildlife,512,0.9272867248718255,0.79983366,0.9135443,0.686123
wildlife,512,0.9271032164917222,0.8012705,0.9130225,0.6895184
wildlife,512,0.9282495192961444,0.7998688,0.9150041,0.68473357
